track_id,track_name,artist_id,artist_names,album_id,album_name,album_artist_id,album_artist_names,album_year,album_image_url,disc_number,track_number,track_duration_ms,explicit,popularity,isrc,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1XAZlnVtthcDZt2NI1Dtxo,Justified & Ancient - Stand by the Jams,6dYrdRlNZSKaVxYg5IrvCH,The KLF,4MC0ZjNtVP1nDD5lsLxFjc,Songs Collection,6dYrdRlNZSKaVxYg5IrvCH,The KLF,1992,https://i.scdn.co/image/ab67616d0000b27355346bc1f268730f607f9544,1,3,216270,False,0,QMARG1760056,"acid house,ambient house,big beat,hip house",0.617,0.872,8,-12.305,1,0.048,0.0158,0.112,0.408,0.504,111.458,4
6a8GbQIlV8HBUW3c6Uk9PH,I Know You Want Me (Calle Ocho),0TnOYISbd1XYRBk9myaseg,Pitbull,5xLAcbvbSAlRtPXnKkggXA,Pitbull Starring In Rebelution,0TnOYISbd1XYRBk9myaseg,Pitbull,2009,https://i.scdn.co/image/ab67616d0000b27326d73ab8423a350faa5d395a,1,3,237120,False,64,USJAY0900144,"dance pop,miami hip hop,pop",0.825,0.743,2,-5.995,1,0.149,0.0142,2.12e-05,0.237,0.8,127.045,4
70XtWbcVZcpaOddJftMcVi,From the Bottom of My Broken Heart,26dSoYclwsYLMAKD3tpOr4,Britney Spears,3WNxdumkSMGMJRhEgK80qx,...Baby One More Time (Digital Deluxe Version),26dSoYclwsYLMAKD3tpOr4,Britney Spears,1999,https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02,1,6,312533,False,56,USJI19910455,"dance pop,pop",0.677,0.665,7,-5.171,1,0.0305,0.56,1.01e-06,0.338,0.706,74.981,4
1NXUWyPJk5kO6DQJ5t7bDu,Apeman - 2014 Remastered Version,1SQRv42e4PjEYfPhS0Tk9E,The Kinks,6lL6HugNEN4Vlc8sj0Zcse,"Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe)",1SQRv42e4PjEYfPhS0Tk9E,The Kinks,2014,https://i.scdn.co/image/ab67616d0000b2731e7c5307ccbbb74101e0cc77,1,11,233400,False,42,GB5KW1499822,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,protopunk,psychedelic rock,rock,singer-songwriter",0.683,0.728,9,-8.92,1,0.259,0.568,5.08e-05,0.0384,0.833,75.311,4
72WZtWs6V7uu3aMgMmEkYe,You Can't Always Get What You Want,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,0c78nsgqX6VfniSNWIxwoD,Let It Bleed,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,1969,https://i.scdn.co/image/ab67616d0000b27373d92707b0e7da0c493f5b86,1,9,448720,False,0,USA176910100,"album rock,british invasion,classic rock,rock",0.319,0.627,0,-9.611,1,0.0687,0.675,7.29e-05,0.289,0.497,85.818,4
4bEb3KE4mSKlTFjtWJQBqO,Don't Stop - 2004 Remaster,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,1bt6q2SruMsBtcerNVtpZB,Rumours,08GQAI4eElDnROBrJRGE0X,Fleetwood Mac,1977,https://i.scdn.co/image/ab67616d0000b27357df7ce0eac715cf70e519a7,1,4,193346,False,79,USWB10400049,"album rock,classic rock,rock,soft rock,yacht rock",0.671,0.71,9,-7.724,1,0.0356,0.0393,1.12e-05,0.0387,0.834,118.745,4
0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),"5CiGnKThu5ctn9pBxv7DGa, 26VFTg2z8YR0cCuwLzESi2, 6LuN9FCkKOj5PcnpouEgny","benny blanco, Halsey, Khalid",7pkLXlFdpQDfmHujT2AbBK,Eastside (with Halsey & Khalid),"5CiGnKThu5ctn9pBxv7DGa, 26VFTg2z8YR0cCuwLzESi2, 6LuN9FCkKOj5PcnpouEgny","benny blanco, Halsey, Khalid",2018,https://i.scdn.co/image/ab67616d0000b2733154f0bdf9a17385d7afc6ba,1,1,173799,False,78,USUM71809132,"pop,electropop,etherpop,indie poptimism,pop,pop,pop r&b",0.56,0.68,6,-7.648,0,0.321,0.555,0.0,0.116,0.319,89.391,4
5LjSxAIKwyZvQqJ04ZQ0Da,Something About The Way You Look Tonight - Edit Version,3PhoLpVuITZKcymswpck5b,Elton John,3g61rwvRs1NPeVBxuAMmHZ,Candle In The Wind 1997 / Something About ...,3PhoLpVuITZKcymswpck5b,Elton John,1997,https://i.scdn.co/image/ab67616d0000b27352a56df14c3a5e318925787c,1,1,240546,False,61,GBAMS9700013,"glam rock,mellow gold,piano rock,rock",0.48,0.628,6,-7.643,1,0.0262,0.174,3.28e-05,0.0753,0.541,143.412,4
3OalxlWH0v14kyBcNBMINt,Mercy,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,0S9QJQiRmG9JYYfJfKqhDF,Illuminate (Deluxe),7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,2016,https://i.scdn.co/image/ab67616d0000b2738a24ed638eedd60514a789ef,1,2,208733,False,0,USUM71603531,"canadian pop,pop,viral pop",0.562,0.681,11,-4.934,0,0.0871,0.113,0.0,0.11,0.357,148.064,4
0CtkjgZpkgnW7U6WmHsakD,It's Like That,"3CQIn7N5CuRDP8wEI7FiDA, 5w0ka9nPOmEH6CcZrutyP2","Run–D.M.C., Jason Nevins",3bRdFxQZdU5g6VjLq8KaU7,The Greatest Hits,3CQIn7N5CuRDP8wEI7FiDA,Run–D.M.C.,2002,https://i.scdn.co/image/ab67616d0000b273a4ad282a80ca274058a0618d,1,1,250626,False,68,USAR19700609,"east coast hip hop,golden age hip hop,hip hop,old school hip hop,queens hip hop,rap",0.852,0.874,7,-11.208,1,0.0427,0.0168,0.45,0.133,0.666,129.029,4
